time_sec,throttle,altitude,rpm,cht,egt,egt_1,egt_2,egt_3,egt_4,oil_pressure,oil_temp,fuel_flow,battery_voltage,vibration_index,engine_load
46.0,0.9,0,5140.0,194.12,804.55,804.55,804.55,804.55,804.55,86.0,114.09,32.2,14.02,0.048,0.8411
47.0,0.9,0,5140.0,194.74,804.72,804.72,804.72,804.72,804.72,86.0,114.33,32.2,14.02,0.048,0.8411
48.0,0.9,0,5140.0,195.34,804.87,804.87,804.87,804.87,804.87,86.0,114.55,32.2,14.02,0.048,0.8411
49.0,0.9,0,5140.0,195.91,805.0,805.0,805.0,805.0,805.0,86.0,114.77,32.2,14.02,0.048,0.8411
50.0,0.9,0,5140.0,196.47,805.12,805.12,805.12,805.12,805.12,86.0,114.98,32.2,14.02,0.048,0.8411
51.0,0.9,0,5140.0,197.0,805.22,805.22,805.22,805.22,805.22,86.0,115.17,32.2,14.02,0.048,0.8411
52.0,0.9,0,5140.0,197.51,805.31,805.31,805.31,805.31,805.31,86.0,115.36,32.2,14.02,0.048,0.8411
53.0,0.9,0,5140.0,198.0,805.39,805.39,805.39,805.39,805.39,86.0,115.54,32.2,14.02,0.048,0.8411
54.0,0.9,0,5140.0,198.47,805.47,805.47,805.47,805.47,805.47,86.0,115.71,32.2,14.02,0.048,0.8411
55.0,0.9,0,5140.0,198.92,805.53,805.53,805.53,805.53,805.53,86.0,115.87,32.2,14.02,0.048,0.8411
56.0,0.9,0,5140.0,199.35,805.58,805.58,805.58,805.58,805.58,86.0,116.02,32.2,14.02,0.048,0.8411
57.0,0.9,0,5140.0,199.77,805.63,805.63,805.63,805.63,805.63,86.0,116.17,32.2,14.02,0.048,0.8411
58.0,0.9,0,5140.0,200.17,805.68,805.68,805.68,805.68,805.68,86.0,116.3,32.2,14.02,0.048,0.8411
59.0,0.9,0,5140.0,200.56,805.71,805.71,805.71,805.71,805.71,86.0,116.44,32.2,14.02,0.048,0.8411
60.0,0.9,0,5140.0,200.93,805.75,805.75,805.75,805.75,805.75,86.0,116.56,32.2,14.02,0.048,0.8411
61.0,0.9,0,5140.0,201.28,805.78,805.78,805.78,805.78,805.78,86.0,116.68,32.2,14.02,0.048,0.8411
62.0,0.9,0,5140.0,201.63,805.8,805.8,805.8,805.8,805.8,86.0,116.79,32.2,14.02,0.048,0.8411
63.0,0.9,0,5140.0,201.95,805.83,805.83,805.83,805.83,805.83,86.0,116.9,32.2,14.02,0.048,0.8411
64.0,0.9,0,5140.0,202.27,805.85,805.85,805.85,805.85,805.85,86.0,117.0,32.2,14.02,0.048,0.8411
65.0,0.9,0,5140.0,202.57,805.87,805.87,805.87,805.87,805.87,86.0,117.1,32.2,14.02,0.048,0.8411
66.0,0.9,0,5140.0,202.86,805.88,805.88,805.88,805.88,805.88,86.0,117.19,32.2,14.02,0.048,0.8411
67.0,0.9,0,5140.0,203.14,805.89,805.89,805.89,805.89,805.89,86.0,117.28,32.2,14.02,0.048,0.8411
68.0,0.9,0,5140.0,203.41,805.91,805.91,805.91,805.91,805.91,86.0,117.36,32.2,14.02,0.048,0.8411
69.0,0.9,0,5140.0,203.67,805.92,805.92,805.92,805.92,805.92,86.0,117.44,32.2,14.02,0.048,0.8411
70.0,0.9,0,5140.0,203.92,805.93,805.93,805.93,805.93,805.93,86.0,117.52,32.2,14.02,0.048,0.8411
71.0,0.9,0,5140.0,204.16,805.94,805.94,805.94,805.94,805.94,86.0,117.59,32.2,14.02,0.048,0.8411
72.0,0.9,0,5140.0,204.39,805.94,805.94,805.94,805.94,805.94,86.0,117.66,32.2,14.02,0.048,0.8411
73.0,0.9,0,5140.0,204.61,805.95,805.95,805.95,805.95,805.95,86.0,117.73,32.2,14.02,0.048,0.8411
74.0,0.9,0,5140.0,204.82,805.96,805.96,805.96,805.96,805.96,86.0,117.79,32.2,14.02,0.048,0.8411
75.0,0.9,0,5140.0,205.02,805.96,805.96,805.96,805.96,805.96,86.0,117.85,32.2,14.02,0.048,0.8411
76.0,0.9,0,5140.0,205.22,805.97,805.97,805.97,805.97,805.97,86.0,117.9,32.2,14.02,0.048,0.8411
77.0,0.9,0,5140.0,205.4,805.97,805.97,805.97,805.97,805.97,86.0,117.96,32.2,14.02,0.048,0.8411
78.0,0.9,0,5140.0,205.58,805.97,805.97,805.97,805.97,805.97,86.0,118.01,32.2,14.02,0.048,0.8411
79.0,0.9,0,5140.0,205.76,805.98,805.98,805.98,805.98,805.98,86.0,118.06,32.2,14.02,0.048,0.8411
80.0,0.9,0,5140.0,205.92,805.98,805.98,805.98,805.98,805.98,86.0,118.1,32.2,14.02,0.048,0.8411
81.0,0.9,0,5140.0,206.08,805.98,805.98,805.98,805.98,805.98,86.0,118.15,32.2,14.02,0.048,0.8411
82.0,0.9,0,5140.0,206.24,805.98,805.98,805.98,805.98,805.98,86.0,118.19,32.2,14.02,0.048,0.8411
83.0,0.9,0,5140.0,206.38,805.99,805.99,805.99,805.99,805.99,86.0,118.23,32.2,14.02,0.048,0.8411
84.0,0.9,0,5140.0,206.53,805.99,805.99,805.99,805.99,805.99,86.0,118.27,32.2,14.02,0.048,0.8411
85.0,0.9,0,5140.0,206.66,805.99,805.99,805.99,805.99,805.99,86.0,118.3,32.2,14.02,0.048,0.8411
86.0,0.9,0,5140.0,206.79,805.99,805.99,805.99,805.99,805.99,86.0,118.34,32.2,14.02,0.048,0.8411
87.0,0.9,0,5140.0,206.92,805.99,805.99,805.99,805.99,805.99,86.0,118.37,32.2,14.02,0.048,0.8411
88.0,0.9,0,5140.0,207.04,805.99,805.99,805.99,805.99,805.99,86.0,118.4,32.2,14.02,0.048,0.8411
89.0,0.9,0,5140.0,207.16,805.99,805.99,805.99,805.99,805.99,86.0,118.43,32.2,14.02,0.048,0.8411
90.0,0.9,0,5140.0,207.27,805.99,805.99,805.99,805.99,805.99,86.0,118.46,32.2,14.02,0.048,0.8411
91.0,0.9,0,5140.0,207.37,805.99,805.99,805.99,805.99,805.99,86.0,118.48,32.2,14.02,0.048,0.8411
92.0,0.9,0,5140.0,207.48,806.0,806.0,806.0,806.0,806.0,86.0,118.51,32.2,14.02,0.048,0.8411
93.0,0.9,0,5140.0,207.58,806.0,806.0,806.0,806.0,806.0,86.0,118.53,32.2,14.02,0.048,0.8411
94.0,0.9,0,5140.0,207.67,806.0,806.0,806.0,806.0,806.0,86.0,118.55,32.2,14.02,0.048,0.8411
95.0,0.9,0,5140.0,207.76,806.0,806.0,806.0,806.0,806.0,86.0,118.58,32.2,14.02,0.048,0.8411
96.0,0.9,0,5140.0,207.85,806.0,806.0,806.0,806.0,806.0,86.0,118.6,32.2,14.02,0.048,0.8411
97.0,0.9,0,5140.0,207.93,806.0,806.0,806.0,806.0,806.0,86.0,118.62,32.2,14.02,0.048,0.8411
98.0,0.9,0,5140.0,208.02,806.0,806.0,806.0,806.0,806.0,86.0,118.64,32.2,14.02,0.048,0.8411
99.0,0.9,0,5140.0,208.09,806.0,806.0,806.0,806.0,806.0,86.0,118.65,32.2,14.02,0.048,0.8411
100.0,0.9,0,5140.0,208.17,806.0,806.0,806.0,806.0,806.0,86.0,118.67,32.2,14.02,0.048,0.8411
101.0,0.9,0,5140.0,208.24,806.0,806.0,806.0,806.0,806.0,86.0,118.69,32.2,14.02,0.048,0.8411
102.0,0.9,0,5140.0,208.31,806.0,806.0,806.0,806.0,806.0,86.0,118.7,32.2,14.02,0.048,0.8411
103.0,0.9,0,5140.0,208.38,806.0,806.0,806.0,806.0,806.0,86.0,118.72,32.2,14.02,0.048,0.8411
104.0,0.9,0,5140.0,208.44,806.0,806.0,806.0,806.0,806.0,86.0,118.73,32.2,14.02,0.048,0.8411
105.0,0.9,0,5140.0,208.5,806.0,806.0,806.0,806.0,806.0,86.0,118.74,32.2,14.02,0.048,0.8411
106.0,0.9,0,5140.0,208.56,806.0,806.0,806.0,806.0,806.0,86.0,118.76,32.2,14.02,0.048,0.8411
107.0,0.9,0,5140.0,208.62,806.0,806.0,806.0,806.0,806.0,86.0,118.77,32.2,14.02,0.048,0.8411
108.0,0.9,0,5140.0,208.67,806.0,806.0,806.0,806.0,806.0,86.0,118.78,32.2,14.02,0.048,0.8411
109.0,0.9,0,5140.0,208.72,806.0,806.0,806.0,806.0,806.0,86.0,118.79,32.2,14.02,0.048,0.8411
110.0,0.9,0,5140.0,208.77,806.0,806.0,806.0,806.0,806.0,86.0,118.8,32.2,14.02,0.048,0.8411
111.0,0.9,0,5140.0,208.82,806.0,806.0,806.0,806.0,806.0,86.0,118.81,32.2,14.02,0.048,0.8411
112.0,0.9,0,5140.0,208.87,806.0,806.0,806.0,806.0,806.0,86.0,118.82,32.2,14.02,0.048,0.8411
113.0,0.9,0,5140.0,208.91,806.0,806.0,806.0,806.0,806.0,86.0,118.83,32.2,14.02,0.048,0.8411
114.0,0.9,0,5140.0,208.95,806.0,806.0,806.0,806.0,806.0,86.0,118.84,32.2,14.02,0.048,0.8411
115.0,0.9,0,5140.0,208.99,806.0,806.0,806.0,806.0,806.0,86.0,118.84,32.2,14.02,0.048,0.8411
116.0,0.9,0,5140.0,209.03,806.0,806.0,806.0,806.0,806.0,86.0,118.85,32.2,14.02,0.048,0.8411
117.0,0.9,0,5140.0,209.07,806.0,806.0,806.0,806.0,806.0,86.0,118.86,32.2,14.02,0.048,0.8411
118.0,0.9,0,5140.0,209.11,806.0,806.0,806.0,806.0,806.0,86.0,118.87,32.2,14.02,0.048,0.8411
119.0,0.9,0,5140.0,209.14,806.0,806.0,806.0,806.0,806.0,86.0,118.87,32.2,14.02,0.048,0.8411
120.0,0.9,0,5140.0,209.18,806.0,806.0,806.0,806.0,806.0,86.0,118.88,32.2,14.02,0.048,0.8411
121.0,0.9,0,5140.0,209.21,806.0,806.0,806.0,806.0,806.0,86.0,118.88,32.2,14.02,0.048,0.8411
122.0,0.9,0,5140.0,209.24,806.0,806.0,806.0,806.0,806.0,86.0,118.89,32.2,14.02,0.048,0.8411
123.0,0.9,0,5140.0,209.27,806.0,806.0,806.0,806.0,806.0,86.0,118.9,32.2,14.02,0.048,0.8411
124.0,0.9,0,5140.0,209.3,806.0,806.0,806.0,806.0,806.0,86.0,118.9,32.2,14.02,0.048,0.8411
125.0,0.9,0,5140.0,209.33,806.0,806.0,806.0,806.0,806.0,86.0,118.91,32.2,14.02,0.048,0.8411
126.0,0.9,0,5140.0,209.35,806.0,806.0,806.0,806.0,806.0,86.0,118.91,32.2,14.02,0.048,0.8411
127.0,0.9,0,5140.0,209.38,806.0,806.0,806.0,806.0,806.0,86.0,118.91,32.2,14.02,0.048,0.8411
128.0,0.9,0,5140.0,209.4,806.0,806.0,806.0,806.0,806.0,86.0,118.92,32.2,14.02,0.048,0.8411
129.0,0.9,0,5140.0,209.43,806.0,806.0,806.0,806.0,806.0,86.0,118.92,32.2,14.02,0.048,0.8411
130.0,0.9,0,5140.0,209.45,806.0,806.0,806.0,806.0,806.0,86.0,118.93,32.2,14.02,0.048,0.8411
131.0,0.9,0,5140.0,209.47,806.0,806.0,806.0,806.0,806.0,86.0,118.93,32.2,14.02,0.048,0.8411
132.0,0.9,0,5140.0,209.49,806.0,806.0,806.0,806.0,806.0,86.0,118.93,32.2,14.02,0.048,0.8411
133.0,0.9,0,5140.0,209.51,806.0,806.0,806.0,806.0,806.0,86.0,118.94,32.2,14.02,0.048,0.8411
134.0,0.9,0,5140.0,209.53,806.0,806.0,806.0,806.0,806.0,86.0,118.94,32.2,14.02,0.048,0.8411
135.0,0.9,0,5140.0,209.55,806.0,806.0,806.0,806.0,806.0,86.0,118.94,32.2,14.02,0.048,0.8411
136.0,0.9,0,5140.0,209.57,806.0,806.0,806.0,806.0,806.0,86.0,118.95,32.2,14.02,0.048,0.8411
137.0,0.9,0,5140.0,209.58,806.0,806.0,806.0,806.0,806.0,86.0,118.95,32.2,14.02,0.048,0.8411
138.0,0.9,0,5140.0,209.6,806.0,806.0,806.0,806.0,806.0,86.0,118.95,32.2,14.02,0.048,0.8411
139.0,0.9,0,5140.0,209.62,806.0,806.0,806.0,806.0,806.0,86.0,118.95,32.2,14.02,0.048,0.8411
140.0,0.9,0,5140.0,209.63,806.0,806.0,806.0,806.0,806.0,86.0,118.96,32.2,14.02,0.048,0.8411
141.0,0.9,0,5140.0,209.64,806.0,806.0,806.0,806.0,806.0,86.0,118.96,32.2,14.02,0.048,0.8411
142.0,0.9,0,5140.0,209.66,806.0,806.0,806.0,806.0,806.0,86.0,118.96,32.2,14.02,0.048,0.8411
143.0,0.9,0,5140.0,209.67,806.0,806.0,806.0,806.0,806.0,86.0,118.96,32.2,14.02,0.048,0.8411
144.0,0.9,0,5140.0,209.68,806.0,806.0,806.0,806.0,806.0,86.0,118.96,32.2,14.02,0.048,0.8411
145.0,0.9,0,5140.0,209.7,806.0,806.0,806.0,806.0,806.0,86.0,118.97,32.2,14.02,0.048,0.8411
146.0,0.9,0,5140.0,209.71,806.0,806.0,806.0,806.0,806.0,86.0,118.97,32.2,14.02,0.048,0.8411
147.0,0.9,0,5140.0,209.72,806.0,806.0,806.0,806.0,806.0,86.0,118.97,32.2,14.02,0.048,0.8411
148.0,0.9,0,5140.0,209.73,806.0,806.0,806.0,806.0,806.0,86.0,118.97,32.2,14.02,0.048,0.8411
149.0,0.9,0,5140.0,209.74,806.0,806.0,806.0,806.0,806.0,86.0,118.97,32.2,14.02,0.048,0.8411
150.0,0.9,0,5140.0,209.75,806.0,806.0,806.0,806.0,806.0,86.0,118.97,32.2,14.02,0.048,0.8411
151.0,0.9,0,5140.0,209.76,806.0,806.0,806.0,806.0,806.0,86.0,118.97,32.2,14.02,0.048,0.8411
152.0,0.9,0,5140.0,209.77,806.0,806.0,806.0,806.0,806.0,86.0,118.98,32.2,14.02,0.048,0.8411
153.0,0.9,0,5140.0,209.78,806.0,806.0,806.0,806.0,806.0,86.0,118.98,32.2,14.02,0.048,0.8411
154.0,0.9,0,5140.0,209.79,806.0,806.0,806.0,806.0,806.0,86.0,118.98,32.2,14.02,0.048,0.8411
155.0,0.9,0,5140.0,209.8,806.0,806.0,806.0,806.0,806.0,86.0,118.98,32.2,14.02,0.048,0.8411
156.0,0.9,0,5140.0,209.81,806.0,806.0,806.0,806.0,806.0,86.0,118.98,32.2,14.02,0.048,0.8411
157.0,0.9,0,5140.0,209.81,806.0,806.0,806.0,806.0,806.0,86.0,118.98,32.2,14.02,0.048,0.8411
158.0,0.9,0,5140.0,209.82,806.0,806.0,806.0,806.0,806.0,86.0,118.98,32.2,14.02,0.048,0.8411
159.0,0.9,0,5140.0,209.83,806.0,806.0,806.0,806.0,806.0,86.0,118.98,32.2,14.02,0.048,0.8411
160.0,0.9,0,5140.0,209.83,806.0,806.0,806.0,806.0,806.0,86.0,118.98,32.2,14.02,0.048,0.8411
161.0,0.9,0,5140.0,209.84,806.0,806.0,806.0,806.0,806.0,86.0,118.98,32.2,14.02,0.048,0.8411
162.0,0.9,0,5140.0,209.85,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
163.0,0.9,0,5140.0,209.85,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
164.0,0.9,0,5140.0,209.86,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
165.0,0.9,0,5140.0,209.86,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
166.0,0.9,0,5140.0,209.87,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
167.0,0.9,0,5140.0,209.87,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
168.0,0.9,0,5140.0,209.88,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
169.0,0.9,0,5140.0,209.88,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
170.0,0.9,0,5140.0,209.89,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
171.0,0.9,0,5140.0,209.89,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
172.0,0.9,0,5140.0,209.9,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
173.0,0.9,0,5140.0,209.9,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
174.0,0.9,0,5140.0,209.91,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
175.0,0.9,0,5140.0,209.91,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
176.0,0.9,0,5140.0,209.91,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
177.0,0.9,0,5140.0,209.92,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
178.0,0.9,0,5140.0,209.92,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
179.0,0.9,0,5140.0,209.92,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
180.0,0.9,0,5140.0,209.93,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
181.0,0.9,0,5140.0,209.93,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
182.0,0.9,0,5140.0,209.93,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
183.0,0.9,0,5140.0,209.93,806.0,806.0,806.0,806.0,806.0,86.0,118.99,32.2,14.02,0.048,0.8411
184.0,0.9,0,5140.0,209.94,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
185.0,0.9,0,5140.0,209.94,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
186.0,0.9,0,5140.0,209.94,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
187.0,0.9,0,5140.0,209.94,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
188.0,0.9,0,5140.0,209.95,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
189.0,0.9,0,5140.0,209.95,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
190.0,0.9,0,5140.0,209.95,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
191.0,0.9,0,5140.0,209.95,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
192.0,0.9,0,5140.0,209.95,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
193.0,0.9,0,5140.0,209.96,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
194.0,0.9,0,5140.0,209.96,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
195.0,0.9,0,5140.0,209.96,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
196.0,0.9,0,5140.0,209.96,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
197.0,0.9,0,5140.0,209.96,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
198.0,0.9,0,5140.0,209.96,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
199.0,0.9,0,5140.0,209.97,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
200.0,0.9,0,5140.0,209.97,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
201.0,0.9,0,5140.0,209.97,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
202.0,0.9,0,5140.0,209.97,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
203.0,0.9,0,5140.0,209.97,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
204.0,0.9,0,5140.0,209.97,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
205.0,0.9,0,5140.0,209.97,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
206.0,0.9,0,5140.0,209.97,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
207.0,0.9,0,5140.0,209.97,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
208.0,0.9,0,5140.0,209.98,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
209.0,0.9,0,5140.0,209.98,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
210.0,0.9,0,5140.0,209.98,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
211.0,0.9,0,5140.0,209.98,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
212.0,0.9,0,5140.0,209.98,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
213.0,0.9,0,5140.0,209.98,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
214.0,0.9,0,5140.0,209.98,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
215.0,0.9,0,5140.0,209.98,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
216.0,0.9,0,5140.0,209.98,806.0,806.0,806.0,806.0,806.0,86.0,119.0,32.2,14.02,0.048,0.8411
